"day","hour","forecast","value location:60_127 Start : 20180901 "
"06","04:30","+1","27.700001"
"06","04:30","+2","28.000000"
"06","05:30","+1","28.000000"
"06","05:30","+2","27.299999"
"06","05:30","+3","26.700001"
"06","05:30","+4","26.000000"
"06","06:30","+1","26.799999"
"06","06:30","+2","26.400000"
"06","06:30","+3","26.000000"
"06","07:30","+1","25.900000"
"06","07:30","+2","26.000000"
"06","08:30","+1","26.000000"
"06","08:30","+2","25.299999"
"06","08:30","+3","24.700001"
"06","08:30","+4","24.000000"
"06","09:30","+1","23.700001"
"06","09:30","+2","23.400000"
"06","09:30","+3","23.000000"
"06","10:30","+1","23.299999"
"06","10:30","+2","23.000000"
"06","11:30","+1","23.000000"
"06","11:30","+2","22.700001"
"06","11:30","+3","22.299999"
"06","11:30","+4","22.000000"
"06","12:30","+1","22.400000"
"06","12:30","+2","22.200001"
"06","12:30","+3","22.000000"
"06","13:30","+1","22.299999"
"06","13:30","+2","22.000000"
"06","14:30","+1","22.000000"
"06","14:30","+2","22.000000"
"06","14:30","+3","22.000000"
"06","14:30","+4","22.000000"
"06","15:30","+1","20.700001"
"06","15:30","+2","21.299999"
"06","15:30","+3","22.000000"
"06","16:30","+1","21.400000"
"06","16:30","+2","22.000000"
"06","17:30","+1","22.000000"
"06","17:30","+2","21.299999"
"06","17:30","+3","20.700001"
"06","17:30","+4","20.000000"
"06","18:30","+1","20.000000"
"06","18:30","+2","20.000000"
"06","18:30","+3","20.000000"
"06","19:30","+1","19.799999"
"06","19:30","+2","20.000000"
"06","20:30","+1","20.000000"
"06","20:30","+2","21.000000"
"06","20:30","+3","22.000000"
"06","20:30","+4","23.000000"
"06","21:30","+1","20.200001"
"06","21:30","+2","21.100000"
"06","21:30","+3","22.000000"
"06","22:30","+1","20.799999"
"06","22:30","+2","22.000000"
"06","23:30","+1","22.000000"
"06","23:30","+2","22.700001"
"06","23:30","+3","23.299999"
"06","23:30","+4","24.000000"
"07","00:30","+1","22.000000"
"07","00:30","+2","23.000000"
"07","00:30","+3","24.000000"
"07","01:30","+1","23.200001"
"07","01:30","+2","24.000000"
"07","02:30","+1","24.000000"
"07","02:30","+2","24.299999"
"07","02:30","+3","24.700001"
"07","02:30","+4","25.000000"
"07","03:30","+1","24.200001"
"07","03:30","+2","24.600000"
"07","03:30","+3","25.000000"
"07","04:30","+1","24.500000"
"07","04:30","+2","25.000000"
"07","05:30","+1","25.000000"
"07","05:30","+2","24.700001"
"07","05:30","+3","24.299999"
"07","05:30","+4","24.000000"
"07","06:30","+1","24.100000"
"07","06:30","+2","24.000000"
"07","06:30","+3","24.000000"
"07","07:30","+1","24.299999"
"07","07:30","+2","24.000000"
"07","08:30","+1","24.000000"
"07","08:30","+2","23.000000"
"07","08:30","+3","22.000000"
"07","08:30","+4","21.000000"
"07","09:30","+1","22.900000"
"07","09:30","+2","22.000000"
"07","09:30","+3","21.000000"
"07","10:30","+1","21.700001"
"07","10:30","+2","21.000000"
"07","11:30","+1","21.000000"
"07","11:30","+2","20.299999"
"07","11:30","+3","19.700001"
"07","11:30","+4","19.000000"
"07","12:30","+1","20.000000"
"07","12:30","+2","19.500000"
"07","12:30","+3","19.000000"
"07","13:30","+1","19.500000"
"07","13:30","+2","19.000000"
"07","14:30","+1","19.000000"
"07","14:30","+2","18.700001"
"07","14:30","+3","18.299999"
"07","14:30","+4","18.000000"
"07","15:30","+1","18.500000"
"07","15:30","+2","18.299999"
"07","15:30","+3","18.000000"
"07","16:30","+1","18.100000"
"07","16:30","+2","18.000000"
"07","17:30","+1","18.000000"
"07","17:30","+2","17.700001"
"07","17:30","+3","17.299999"
"07","17:30","+4","17.000000"
"07","18:30","+1","17.200001"
"07","18:30","+2","17.100000"
"07","18:30","+3","17.000000"
"07","19:30","+1","16.900000"
"07","19:30","+2","17.000000"
"07","20:30","+1","17.000000"
"07","20:30","+2","18.000000"
"07","20:30","+3","19.000000"
"07","20:30","+4","20.000000"
"07","21:30","+1","17.200001"
"07","21:30","+2","18.600000"
"07","21:30","+3","20.000000"
"07","22:30","+1","18.100000"
"07","22:30","+2","20.000000"
"07","23:30","+1","20.000000"
