진료년도,주상병코드,성별,입원외래구분,환자수(명),청구건수(건),요양급여비용(원)
2013,A55,남,외래,69 ,141 ,4753500 
2013,A55,여,외래,109 ,182 ,2969650 
2013,A55,남,입원,3 ,3 ,1741950 
2013,A55,여,입원,2 ,2 ,3754110 
2013,A56,남,외래,6583 ,14812 ,223409780 
2013,A56,여,외래,18104 ,31691 ,574131910 
2013,A56,남,입원,3 ,3 ,641910 
2013,A56,여,입원,63 ,66 ,71301510 
2013,A57,남,외래,386 ,945 ,16244030 
2013,A57,여,외래,133 ,249 ,5080010 
2013,A57,여,입원,5 ,5 ,3633120 
2013,A58,남,외래,75 ,160 ,5187600 
2013,A58,여,외래,57 ,143 ,5878170 
2013,A58,남,입원,7 ,7 ,7524660 
2013,A58,여,입원,2 ,2 ,1398360 
2013,A59,남,외래,4430 ,5448 ,69201650 
2013,A59,여,외래,151217 ,290012 ,4439366300 
2013,A59,남,입원,2 ,2 ,1066570 
2013,A59,여,입원,23 ,23 ,9002170 
2013,A60,남,외래,36227 ,73226 ,1020524110 
2013,A60,여,외래,80923 ,145252 ,2166964490 
2013,A60,남,입원,26 ,31 ,10894000 
2013,A60,여,입원,88 ,93 ,65939520 
2013,A63,남,외래,28299 ,61182 ,2396650110 
2013,A63,여,외래,23319 ,63361 ,1889021440 
2013,A63,남,입원,892 ,1057 ,329060460 
2013,A63,여,입원,436 ,477 ,154410440 
2013,A64,남,외래,1854 ,3264 ,87506040 
2013,A64,여,외래,3368 ,8617 ,164406670 
2013,A64,남,입원,1 ,1 ,436450 
2013,A64,여,입원,4 ,4 ,2788740 
2013,A65,남,외래,41 ,85 ,1893230 
2013,A65,여,외래,30 ,55 ,1141500 
2013,A66,남,외래,217 ,407 ,7878890 
2013,A66,여,외래,231 ,435 ,7426190 
2013,A66,남,입원,3 ,4 ,1332450 
2013,A66,여,입원,5 ,5 ,2321350 
2013,A67,남,외래,11 ,20 ,491050 
2013,A67,여,외래,17 ,23 ,422310 
2013,A68,남,외래,153 ,296 ,3946290 
2013,A68,여,외래,173 ,309 ,6136690 
2013,A68,남,입원,2 ,3 ,5328100 
2013,A68,여,입원,5 ,6 ,4327480 
2013,A69,남,외래,12719 ,20743 ,305165830 
2013,A69,여,외래,16485 ,27579 ,408745030 
2013,A69,남,입원,124 ,129 ,54155030 
2013,A69,여,입원,136 ,146 ,75858110 
2013,A70,남,외래,1 ,1 ,13390 
2013,A70,여,외래,1 ,1 ,43430 
2013,A70,여,입원,1 ,2 ,3188880 
2013,A71,남,외래,17 ,25 ,615340 
2013,A71,여,외래,53 ,73 ,1126270 
2013,A71,여,입원,1 ,1 ,1140220 
2013,A74,남,외래,638 ,1033 ,14417930 
2013,A74,여,외래,3650 ,6521 ,106741050 
2013,A74,남,입원,3 ,3 ,2019020 
2013,A74,여,입원,32 ,32 ,40322870 
2013,A75,남,외래,6331 ,12554 ,458269660 
2013,A75,여,외래,8562 ,17239 ,606339400 
2013,A75,남,입원,4182 ,4463 ,4145387460 
2013,A75,여,입원,6675 ,7186 ,6863520320 
2013,A77,남,외래,109 ,214 ,4407130 
2013,A77,여,외래,137 ,230 ,5295940 
2013,A77,남,입원,3 ,3 ,2342590 
2013,A77,여,입원,11 ,11 ,21811030 
2013,A78,남,외래,14 ,40 ,1731910 
2013,A78,여,외래,2 ,2 ,91120 
2013,A78,남,입원,5 ,7 ,19843400 
2013,A79,남,외래,242 ,476 ,11745740 
2013,A79,여,외래,288 ,589 ,14250970 
2013,A79,남,입원,31 ,35 ,23127850 
2013,A79,여,입원,50 ,54 ,43829200 
2013,A80,남,외래,34 ,121 ,3979790 
2013,A80,여,외래,27 ,70 ,3203360 
2013,A80,남,입원,2 ,2 ,3606640 
2013,A80,여,입원,2 ,2 ,3136200 
2013,A81,남,외래,47 ,402 ,38509950 
2013,A81,여,외래,41 ,622 ,27739780 
2013,A81,남,입원,40 ,178 ,552306230 
2013,A81,여,입원,51 ,266 ,693624830 
2013,A82,남,외래,15 ,31 ,5087520 
2013,A82,여,외래,13 ,26 ,435530 
2013,A82,여,입원,1 ,1 ,875270 
2013,A83,남,외래,10 ,83 ,3728110 
2013,A83,여,외래,9 ,16 ,655420 
2013,A83,남,입원,9 ,18 ,105015850 
2013,A83,여,입원,9 ,28 ,257234940 
2013,A84,남,외래,2 ,3 ,81180 
2013,A84,여,외래,2 ,2 ,98430 
2013,A84,남,입원,1 ,12 ,32132900 
2013,A85,남,외래,133 ,278 ,8774890 
2013,A85,여,외래,97 ,218 ,5262400 
2013,A85,남,입원,80 ,97 ,225035860 
2013,A85,여,입원,50 ,65 ,103552030 
2013,A86,남,외래,294 ,1010 ,43225410 
2013,A86,여,외래,227 ,705 ,24544490 
2013,A86,남,입원,200 ,233 ,1089981870 
2013,A86,여,입원,124 ,176 ,650217610 
2013,A87,남,외래,5992 ,8861 ,246609860 
2013,A87,여,외래,5627 ,9169 ,199332010 
2013,A87,남,입원,3374 ,3561 ,3297371970 
2013,A87,여,입원,2523 ,2727 ,2596492700 
2013,A88,남,외래,515 ,752 ,13962020 
2013,A88,여,외래,929 ,1356 ,25182020 
2013,A88,남,입원,10 ,10 ,8769740 
2013,A88,여,입원,8 ,10 ,7388420 
2013,A89,남,외래,33 ,56 ,892590 
2013,A89,여,외래,35 ,64 ,958260 
2013,A89,남,입원,2 ,2 ,2019910 
2013,A89,여,입원,3 ,4 ,36169890 
2013,A90,남,외래,121 ,196 ,9346700 
2013,A90,여,외래,91 ,140 ,7121980 
2013,A90,남,입원,53 ,56 ,57302970 
2013,A90,여,입원,57 ,61 ,56621280 
2013,A91,남,외래,6 ,8 ,932820 
2013,A91,여,외래,3 ,3 ,103960 
2013,A91,남,입원,3 ,3 ,3103760 
2013,A91,여,입원,2 ,2 ,4671530 
2013,A92,남,외래,12 ,26 ,749120 
2013,A92,여,외래,8 ,13 ,229090 
2013,A92,남,입원,3 ,5 ,7772360 
2013,A92,여,입원,1 ,1 ,419970 
2013,A93,남,외래,110 ,207 ,2608120 
2013,A93,여,외래,153 ,294 ,3761730 
2013,A93,남,입원,6 ,7 ,30845340 
2013,A93,여,입원,6 ,7 ,37263560 
2013,A94,남,외래,19 ,27 ,885500 
2013,A94,여,외래,14 ,19 ,601480 
2013,A94,남,입원,3 ,3 ,8069720 
2013,A94,여,입원,1 ,1 ,1995260 
2013,A96,남,외래,1 ,1 ,15220 
2013,A96,여,외래,1 ,1 ,33670 
2013,A98,남,외래,178 ,339 ,19715510 
2013,A98,여,외래,135 ,231 ,10922330 
2013,A98,남,입원,243 ,276 ,585236420 
2013,A98,여,입원,233 ,245 ,373307890 
2013,A99,남,외래,26 ,28 ,1003000 
2013,A99,여,외래,33 ,35 ,2281690 
2013,A99,남,입원,17 ,17 ,52871500 
2013,A99,여,입원,8 ,8 ,7489270 
2013,B00,남,외래,303191 ,486498 ,6618803580 
2013,B00,여,외래,451152 ,711363 ,9640043990 
2013,B00,남,입원,1872 ,1994 ,1656070830 
2013,B00,여,입원,1940 ,2091 ,1610069710 
2013,B01,남,외래,56047 ,107433 ,1376055880 
2013,B01,여,외래,50719 ,97636 ,1254495200 
2013,B01,남,입원,1068 ,1109 ,925213690 
2013,B01,여,입원,906 ,936 ,720559810 
2013,B02,남,외래,242383 ,779711 ,13680864200 
2013,B02,여,외래,374855 ,1194850 ,20299749630 
2013,B02,남,입원,9289 ,10391 ,9348888420 
2013,B02,여,입원,18502 ,20771 ,18949450310 
2013,B03,남,외래,2 ,2 ,90580 
2013,B03,여,외래,2 ,3 ,95810 
2013,B04,여,외래,4 ,7 ,96230 
2013,B05,남,외래,211 ,295 ,9380250 
2013,B05,여,외래,225 ,316 ,9962930 
2013,B05,남,입원,61 ,63 ,67554510 
2013,B05,여,입원,67 ,67 ,60598670 
2013,B06,남,외래,112 ,177 ,4151710 
2013,B06,여,외래,575 ,688 ,28777130 
2013,B06,남,입원,2 ,2 ,1483560 
2013,B06,여,입원,7 ,7 ,4275520 
2013,B07,남,외래,193673 ,482912 ,20023542620 
2013,B07,여,외래,170302 ,411768 ,16296621420 
2013,B07,남,입원,138 ,143 ,70297630 
2013,B07,여,입원,77 ,81 ,34317950 
2013,B08,남,외래,314561 ,587911 ,9041784400 
2013,B08,여,외래,293613 ,543455 ,8363056290 
2013,B08,남,입원,13315 ,14242 ,5713084510 
2013,B08,여,입원,10761 ,11520 ,4591229250 
2013,B09,남,외래,17053 ,25841 ,426478480 
2013,B09,여,외래,16212 ,24353 ,404127970 
2013,B09,남,입원,358 ,367 ,194561490 
2013,B09,여,입원,329 ,339 ,173587570 
2013,B15,남,외래,2594 ,4710 ,212469800 
2013,B15,여,외래,2184 ,3652 ,158964740 
2013,B15,남,입원,747 ,801 ,969332680 
2013,B15,여,입원,566 ,599 ,721920670 
2013,B16,남,외래,6730 ,13366 ,814587750 
2013,B16,여,외래,6285 ,10743 ,614021740 
2013,B16,남,입원,305 ,353 ,588582770 
2013,B16,여,입원,207 ,215 ,254638800 
2013,B17,남,외래,17126 ,30897 ,1594288570 
2013,B17,여,외래,17543 ,30893 ,1595877980 
2013,B17,남,입원,2239 ,2428 ,2544368570 
2013,B17,여,입원,2429 ,2616 ,3003598900 
2013,B18,남,외래,215531 ,989267 ,72874458690 
